O3,Theta_K,Temp,RH,q,N,Alt,malr,Ri,u,v
84.9,303.86,27.7,61.4,14.6909578,343.135913,442,4.34047398,-2.11936594,5.02,1.35
84.9,303.9,27.7,61.5,14.720082,343.160075,446,4.33708752,-2.2202222,4.93,1.29
85,303.85,27.6,61.6,14.6618319,342.779808,451,4.34231355,-2.30699224,4.94,1.29
85,303.88,27.6,61.7,14.6909578,342.828938,455,4.33891826,-2.32438338,4.94,1.29
85.1,303.82,27.5,61.8,14.6424137,342.474176,459,4.34302537,-2.50399285,4.84,1.27
85.2,303.86,27.5,61.9,14.6715408,342.522484,462,4.33962437,-2.51711674,4.83,1.29
85.3,303.79,27.4,62,14.613285,342.167444,466,4.34487803,-2.71285362,4.72,1.3
85.4,303.83,27.4,62.1,14.6424137,342.214934,469,4.34146813,-2.84169665,4.61,1.32
85.7,303.87,27.4,62.2,14.6715408,342.236605,474,4.33806772,-2.86838388,4.6,1.38
86,303.82,27.3,62.4,14.6424137,342.004631,479,4.33991063,-3.09687243,4.48,1.41
86,303.86,27.3,62.5,14.6715408,342.025478,483,4.33651081,-3.2559785,4.37,1.44
86.2,303.91,27.3,62.6,14.7006661,342.046325,488,4.33312042,-3.28564098,4.34,1.52
86.2,303.85,27.2,62.8,14.6715408,341.811696,493,4.33495363,-3.55107276,4.22,1.56
86.3,303.9,27.2,62.9,14.7006661,341.805887,498,4.33156383,-3.74748168,4.1,1.6
86.3,303.86,27.1,63.1,14.6715408,341.543591,504,4.33339618,-3.88095931,4.07,1.68
86.4,303.82,27,63.2,14.6229948,341.10678,510,4.33750715,-4.20874546,3.94,1.72
86.5,303.88,27,63.3,14.6521229,341.073469,517,4.33410278,-4.46696526,3.82,1.76
86.4,303.85,26.9,63.5,14.6327043,340.7574,524,4.33481253,-4.62649285,3.78,1.83
86.3,303.92,26.9,63.6,14.6618319,340.723262,531,4.33141191,-4.91425286,3.66,1.85
86.2,303.88,26.8,63.8,14.6327043,340.431233,537,4.33325349,-5.33524162,3.53,1.88
86.3,303.83,26.7,63.9,14.574444,340.018738,543,4.33852158,-5.5159249,3.5,1.94
86.2,303.89,26.7,64,14.613285,340.008835,548,4.33396574,-5.84744331,3.38,1.95
86.3,303.83,26.6,64.1,14.5550223,339.621989,553,4.33924472,-6.03049577,3.34,2.01
86.2,303.89,26.6,64.3,14.613285,339.755895,558,4.33240576,-6.3959812,3.23,2.01
86.2,303.83,26.5,64.6,14.603575,339.655814,563,4.33198249,-6.58101252,3.2,2.05
86.3,303.9,26.5,64.9,14.6812494,339.906128,569,4.32291624,-6.99614763,3.09,2.04
86.5,303.85,26.4,65.1,14.6424137,339.632318,575,4.32588101,-7.21485539,3.07,2.07
86.6,303.81,26.3,65.3,14.613285,339.331705,582,4.32772421,-7.44690471,3.05,2.1
86.6,303.88,26.3,65.4,14.6521229,339.292673,588,4.32318847,-7.93689379,2.95,2.06
86.6,303.83,26.2,65.6,14.613285,339.016284,593,4.32616315,-8.16226567,2.94,2.08
86.6,303.87,26.2,65.7,14.6424137,339.028293,599,4.32276036,-8.23677835,2.93,2.1
86.7,303.83,26.1,65.8,14.5938649,338.609376,604,4.32687525,-8.46905089,2.92,2.11
86.8,303.88,26.1,65.9,14.6229948,338.59467,610,4.32346671,-8.54496153,2.91,2.12
86.9,303.84,26,66.2,14.613285,338.455884,616,4.32304024,-8.78470794,2.91,2.12
87,303.9,26,66.5,14.6909578,338.694741,622,4.31399037,-8.84793226,2.91,2.12
87,303.86,25.9,66.8,14.6812494,338.525442,628,4.31355746,-9.09201843,2.92,2.11
87.1,303.83,25.8,67.1,14.6715408,338.353855,635,4.31312493,-9.35386636,2.92,2.1
87.2,303.77,25.7,67.3,14.6327043,338.093981,640,4.31608626,-9.08610189,3.01,2.15
87.4,303.83,25.7,67.4,14.6618319,338.076138,645,4.31269279,-9.14887089,3.02,2.14
